NumWebPurchases,Income,Recency,NumWebVisitsMonth,cluster_kmeans
8,58138.0,58,7,1
1,46344.0,38,5,0
8,71613.0,26,4,1
2,26646.0,26,6,0
5,58293.0,94,5,2
6,62513.0,16,6,1
7,55635.0,34,6,1
4,33454.0,32,8,0
3,30351.0,19,9,0
1,5648.0,68,20,0
2,7500.0,59,8,0
3,63033.0,82,2,2
6,59354.0,53,6,1
1,17323.0,38,8,0
7,82800.0,23,3,2
3,41850.0,51,8,0
4,37760.0,20,7,0
11,76995.0,91,5,1
2,33812.0,86,6,0
4,37040.0,41,8,0
0,2447.0,42,1,0
2,58607.0,63,8,0
6,65324.0,0,4,1
7,40689.0,69,8,1
2,18589.0,89,7,0
5,53359.0,4,7,1
2,38360.0,26,3,0
6,84618.0,96,2,2
3,10979.0,34,5,0
2,38620.0,56,3,0
2,40548.0,31,5,0
4,46610.0,8,6,0
3,68657.0,4,7,0
2,49389.0,55,7,0
5,67353.0,37,2,2
3,23718.0,76,7,0
1,42429.0,99,5,0
7,48948.0,53,6,1
8,80011.0,3,4,1
2,20559.0,88,8,0
0,21994.0,4,5,0
2,7500.0,19,5,0
2,79941.0,72,1,2
3,7500.0,24,9,0
2,41728.0,92,10,0
5,72550.0,39,8,1
4,65486.0,29,2,2
6,79143.0,2,3,2
2,35790.0,54,7,0
4,82582.0,54,1,2
4,66373.0,57,3,2
3,82384.0,55,1,2
5,70287.0,30,3,2
1,27938.0,31,3,0
8,55954.0,63,7,1
3,75777.0,12,1,2
4,66653.0,18,3,2
8,61823.0,26,7,1
7,67680.0,8,5,1
7,70666.0,29,4,1
1,25721.0,75,7,0
1,32474.0,0,7,0
11,88194.0,19,5,1
5,69096.0,4,4,2
2,74854.0,90,5,2
4,66991.0,1,3,2
10,65031.0,29,7,1
9,60631.0,88,7,1
2,28332.0,58,2,2
1,40246.0,68,6,0
7,75251.0,34,5,1
5,75825.0,40,4,2
0,26326.0,12,3,0
10,56046.0,9,8,1
3,29760.0,87,8,0
1,26304.0,5,7,0
3,23559.0,87,7,0
2,38620.0,56,3,0
3,81361.0,18,1,2
1,29440.0,95,7,0
3,36138.0,48,7,0
6,50388.0,3,7,1
5,79593.0,70,2,2
2,54178.0,79,2,2
1,42394.0,69,7,0
3,23626.0,84,5,0
2,30096.0,30,6,0
7,47916.0,72,6,1
2,51813.0,37,7,0
5,78497.0,44,2,2
5,50150.0,32,5,1
2,47823.0,0,8,0
2,34554.0,43,6,0
9,85693.0,59,5,1
6,65846.0,68,4,2
3,87195.0,35,1,2
1,24594.0,94,5,0
4,49096.0,15,7,0
6,52413.0,56,6,1
3,38557.0,17,7,0
5,89058.0,18,2,2
6,77298.0,46,3,2
7,68126.0,40,9,1
8,57288.0,27,6,1
6,86037.0,95,3,2
6,43974.0,19,7,1
2,50785.0,27,6,0
4,90765.0,25,1,2
9,36550.0,74,9,1
1,30753.0,85,5,0
2,21918.0,37,6,0
6,56129.0,65,4,1
2,32557.0,13,5,0
1,19510.0,63,7,0
1,30992.0,83,7,0
6,101970.0,69,2,2
3,71488.0,87,1,2
3,79607.0,37,1,2
2,54348.0,51,6,0
6,77376.0,72,4,2
5,62998.0,10,5,1
11,61331.0,42,8,1
7,73448.0,10,4,1
5,41551.0,51,8,0
4,62981.0,21,3,2
1,9548.0,31,8,0
2,33762.0,61,8,0
1,35860.0,37,5,0
2,36921.0,74,7,0
5,92859.0,46,2,2
3,65104.0,4,7,0
5,86111.0,73,2,2
8,68352.0,47,6,1
4,41883.0,13,7,0
3,59809.0,36,8,0
2,23957.0,47,6,0
1,38547.0,49,8,0
4,35688.0,94,8,0
2,49605.0,65,3,2
4,59354.0,59,3,2
8,65747.0,96,6,1
7,46344.0,28,7,1
3,34176.0,12,6,0
8,61010.0,57,5,1
10,69372.0,10,4,1
6,49967.0,4,7,1
0,60199.0,49,4,2
1,55375.0,3,2,2
3,80317.0,64,1,2
1,30523.0,0,7,0
10,70356.0,20,6,1
3,23228.0,91,8,0
5,74165.0,9,2,2
0,157243.0,98,0,2
2,43482.0,83,6,0
6,62551.0,27,3,2
3,52332.0,63,4,2
3,66951.0,46,1,2
2,26091.0,84,5,0
1,33456.0,58,7,0
2,28718.0,78,8,0
3,50447.0,4,6,0
2,53537.0,17,5,0
2,52074.0,77,4,2
11,80427.0,56,5,1
9,83837.0,79,4,1
2,38853.0,90,7,0
0,38285.0,96,2,2
5,78497.0,44,2,2
4,51650.0,81,5,0
2,16248.0,77,6,0
6,66835.0,21,2,2
1,30477.0,16,6,0
2,28249.0,80,6,0
1,25271.0,45,9,0
1,32303.0,63,5,0
7,61286.0,34,5,1
4,74068.0,14,2,2
2,45759.0,13,7,0
1,24882.0,52,6,0
8,66973.0,98,3,2
2,36640.0,99,5,0
3,38872.0,93,8,0
5,51148.0,38,6,1
1,31353.0,24,8,0
7,69661.0,80,3,2
4,80067.0,82,2,2
5,86718.0,20,2,2
5,46854.0,81,8,0
8,69142.0,50,5,1
4,75922.0,60,1,2
11,63693.0,63,6,1
7,102160.0,54,4,2
1,40637.0,72,7,0
0,18890.0,5,6,0
1,29604.0,88,9,0
4,48721.0,50,6,0
2,44794.0,99,6,0
11,64497.0,17,8,1
3,46097.0,11,4,0
4,77972.0,18,1,2
5,44377.0,70,8,0
7,46014.0,21,7,1
3,70951.0,66,1,2
8,41443.0,79,8,1
1,52195.0,2,8,0
8,83790.0,81,3,2
4,44551.0,24,7,0
11,69508.0,48,6,1
1,45204.0,93,3,2
3,72460.0,56,1,2
6,77622.0,3,3,2
4,30732.0,44,8,0
9,63887.0,38,6,1
3,42011.0,46,8,0
8,51369.0,84,8,1
2,51537.0,27,8,0
3,79930.0,72,2,2
1,34320.0,66,8,0
5,37070.0,30,7,0
6,81975.0,2,7,1
1,38590.0,65,8,0
1,15033.0,37,3,0
7,62745.0,89,5,1
2,22212.0,49,6,0
1,23661.0,46,7,0
5,79761.0,32,3,2
3,7500.0,54,7,0
1,60182.0,23,4,2
6,73455.0,98,3,2
6,64961.0,97,3,2
2,22804.0,75,9,0
3,73687.0,8,2,2
11,61074.0,37,7,1
1,31686.0,31,6,0
5,80134.0,40,6,1
9,75027.0,74,5,1
4,67546.0,90,3,2
9,65176.0,57,6,1
2,31160.0,59,8,0
1,29938.0,52,6,0
6,102692.0,5,2,2
3,26490.0,92,6,0
4,75702.0,77,8,1
1,30899.0,35,6,0
8,63342.0,48,6,1
3,45989.0,97,3,2
2,18701.0,95,5,0
1,40737.0,24,8,0
1,15287.0,60,7,0
10,69674.0,46,5,1
4,44159.0,85,5,0
1,37717.0,31,9,0
5,43776.0,9,8,0
3,38179.0,30,7,0
3,80124.0,47,1,2
3,38097.0,70,7,0
3,72940.0,13,1,2
2,22070.0,11,6,0
3,69267.0,31,7,0
3,31788.0,15,5,0
4,61905.0,2,5,2
2,29315.0,55,6,0
2,33378.0,38,7,0
6,66313.0,86,4,2
7,60714.0,56,5,1
3,77882.0,29,1,2
3,69867.0,30,1,2
9,63841.0,64,6,1
3,24480.0,46,7,0
8,51369.0,84,8,1
4,37760.0,20,7,0
5,65640.0,74,2,2
2,44319.0,18,5,0
3,30631.0,75,7,0
6,75278.0,17,3,2
6,50898.0,88,5,1
5,79946.0,19,3,2
7,35416.0,62,8,1
1,32414.0,11,7,0
3,38361.0,74,7,0
2,82497.0,32,4,2
3,16626.0,76,9,0
0,29672.0,6,6,0
3,55951.0,62,8,0
1,35388.0,20,7,0
3,42386.0,43,8,0
2,68627.0,45,1,2
8,57912.0,34,5,1
3,35246.0,53,5,0
9,58821.0,44,6,1
2,46377.0,89,4,0
5,39747.0,43,8,0
3,23976.0,68,7,0
6,80950.0,44,2,2
3,27038.0,64,9,0
2,77457.0,85,1,2
8,64100.0,93,7,1
4,42670.0,12,4,0
3,12571.0,86,6,0
2,22574.0,28,7,0
6,70893.0,42,3,2
3,54198.0,13,4,2
2,28839.0,86,5,0
3,40321.0,59,7,0
4,66503.0,30,3,2
1,30833.0,33,5,0
3,64795.0,23,2,2
1,34421.0,81,7,0
1,47025.0,6,7,0
10,64325.0,41,7,1
8,40464.0,78,8,1
4,62187.0,49,3,2
2,14849.0,39,8,0
1,27255.0,3,7,0
1,54432.0,37,4,0
3,29999.0,22,8,0
1,24072.0,79,8,0
1,33996.0,46,4,0
9,66334.0,82,5,1
1,35178.0,10,7,0
2,22010.0,51,8,0
4,62204.0,38,3,2
11,75693.0,10,4,1
1,30675.0,14,8,0
7,83003.0,18,3,2
4,83532.0,36,1,2
4,68655.0,95,3,2
2,41411.0,11,6,0
4,55212.0,65,8,0
3,59292.0,71,3,2
1,27190.0,13,8,0
2,82623.0,58,1,2
1,44300.0,65,6,0
4,84835.0,0,1,2
2,30372.0,33,7,0
1,33181.0,90,6,0
6,71113.0,95,4,2
8,71952.0,93,4,1
4,69759.0,38,3,2
3,72099.0,18,1,2
11,60000.0,57,6,1
2,38643.0,45,7,0
2,50737.0,61,6,0
3,68462.0,6,1,2
5,65073.0,65,2,2
4,46681.0,52,5,0
4,78618.0,87,2,2
6,62187.0,38,4,1
2,28442.0,53,4,0
1,37717.0,31,9,0
6,51479.0,67,7,1
6,54803.0,65,4,1
4,79530.0,64,2,2
2,31615.0,82,7,0
4,72025.0,27,3,2
2,52614.0,63,8,0
1,35684.0,66,6,0
5,48178.0,69,8,0
1,29548.0,52,4,0
4,63810.0,45,8,0
3,38578.0,2,8,0
3,46098.0,86,8,0
1,22585.0,23,9,0
1,30279.0,13,8,0
3,66426.0,14,6,0
1,30822.0,92,7,0
1,33581.0,38,8,0
0,19986.0,74,7,0
4,27421.0,14,7,0
4,35688.0,94,8,0
0,36143.0,33,3,0
1,10245.0,32,5,0
7,43795.0,11,7,1
4,63381.0,78,2,2
2,38823.0,56,6,0
2,83664.0,57,5,2
5,90300.0,7,1,2
3,62499.0,0,4,2
5,74293.0,66,2,2
4,51012.0,86,6,0
5,70777.0,80,3,2
4,68682.0,56,2,2
3,43824.0,18,8,0
1,15345.0,51,8,0
1,23442.0,71,7,0
2,14515.0,71,7,0
2,31395.0,80,6,0
9,75276.0,2,5,1
2,42373.0,83,5,0
5,30507.0,29,7,0
6,55521.0,11,7,1
1,48006.0,55,6,0
2,27213.0,19,8,0
5,65808.0,1,6,1
3,30351.0,19,9,0
7,50437.0,28,7,1
3,23616.0,76,8,0
4,53858.0,50,4,2
11,66465.0,1,6,1
5,46923.0,90,7,0
5,75072.0,83,3,2
3,75865.0,73,1,2
2,19789.0,24,5,0
2,80134.0,11,5,2
7,91065.0,33,3,2
10,49505.0,4,8,1
2,37401.0,14,7,0
2,30096.0,30,6,0
1,18492.0,75,8,0
3,82584.0,26,1,2
7,93027.0,77,2,2
1,48686.0,8,8,0
6,92910.0,42,1,2
2,75433.0,28,6,0
1,10404.0,52,5,0
5,61314.0,1,3,2
2,84865.0,1,4,2
8,42387.0,42,8,1
9,67309.0,76,7,1
8,75236.0,27,4,1
1,30015.0,28,5,0
1,50943.0,49,5,0
6,67272.0,12,5,1
9,51529.0,14,8,1
2,32011.0,89,7,0
2,7500.0,96,8,0
1,28691.0,56,8,0
2,56223.0,72,4,2
0,18100.0,14,5,0
1,30279.0,13,8,0
1,20130.0,99,8,0
1,23295.0,72,8,0
5,42618.0,92,8,0
4,81246.0,87,1,2
2,24027.0,7,8,0
3,55707.0,91,3,2
4,57959.0,71,3,2
8,56796.0,24,7,1
2,36230.0,17,5,0
4,70829.0,87,3,2
9,65991.0,21,7,1
5,38988.0,90,8,0
7,89572.0,44,4,2
4,42207.0,71,6,0
2,50300.0,52,2,2
5,66664.0,78,3,2
2,60597.0,2,7,0
3,70165.0,60,1,2
3,50520.0,25,6,0
3,80124.0,47,1,2
4,33183.0,46,7,0
2,66582.0,83,1,2
5,75261.0,17,2,2
1,31880.0,13,8,0
7,53790.0,86,6,1
7,49269.0,92,7,1
6,61456.0,47,4,1
1,37406.0,18,8,0
8,56937.0,81,6,1
1,38415.0,91,7,0
1,20518.0,58,5,0
8,62503.0,40,5,1
1,41644.0,67,3,0
7,55842.0,19,5,1
6,62010.0,93,5,1
7,41124.0,41,8,1
2,38961.0,60,7,0
2,37760.0,54,6,0
6,32233.0,26,9,1
4,43057.0,30,5,0
5,83151.0,93,3,2
5,78825.0,35,3,2
3,65104.0,4,7,0
7,60093.0,92,6,1
1,14045.0,24,7,0
4,28457.0,96,8,0
2,78952.0,11,6,2
6,46310.0,99,8,1
3,76005.0,72,6,2
2,58308.0,77,8,0
9,55614.0,85,7,1
5,59432.0,88,5,2
2,55563.0,22,3,2
4,78642.0,83,6,2
6,67911.0,63,3,2
4,65275.0,9,2,2
1,27203.0,92,8,0
1,48330.0,2,5,0
4,24279.0,6,8,0
4,64355.0,66,8,0
1,50943.0,49,5,0
10,53653.0,29,6,1
5,65665.0,77,3,2
3,81217.0,77,1,2
2,34935.0,71,7,0
5,61250.0,49,5,1
4,39665.0,97,7,0
6,60152.0,6,3,2
6,48920.0,93,7,1
5,89120.0,78,1,2
6,44124.0,62,8,1
5,81169.0,47,2,2
3,36443.0,9,8,0
1,26095.0,77,7,0
4,71367.0,24,2,2
6,80184.0,19,3,2
2,30630.0,67,7,0
2,73454.0,95,5,2
5,42691.0,48,5,1
2,70503.0,73,6,0
2,25545.0,35,6,0
1,32880.0,76,8,0
4,77863.0,20,2,2
4,50353.0,72,3,2
4,61839.0,20,8,0
4,49154.0,69,6,0
4,47682.0,80,5,0
4,72679.0,65,1,2
8,57954.0,52,7,1
3,65316.0,65,4,2
2,28567.0,57,6,0
6,47352.0,70,7,1
2,44931.0,0,5,0
8,76982.0,19,4,1
2,57247.0,50,2,2
3,22944.0,67,7,0
3,25315.0,46,8,0
4,43638.0,37,7,0
4,42710.0,38,6,0
7,84169.0,9,3,2
4,54058.0,56,3,2
2,24683.0,98,5,0
3,85620.0,68,1,2
3,47850.0,72,6,0
3,19514.0,47,8,0
1,27159.0,33,6,0
1,39548.0,87,3,0
3,21474.0,0,7,0
6,60504.0,73,6,1
3,22419.0,74,8,0
3,81698.0,4,1,2
4,43462.0,50,8,0
6,54880.0,57,5,1
5,79908.0,30,2,2
2,15315.0,27,5,0
5,87771.0,61,6,1
2,33039.0,4,5,0
6,81741.0,75,2,2
8,71499.0,12,4,1
6,62466.0,13,4,1
3,48799.0,9,3,2
3,52157.0,48,4,2
4,66565.0,80,8,0
1,29298.0,60,5,0
1,47691.0,43,6,0
1,38200.0,19,7,0
5,44989.0,26,6,1
1,38443.0,58,7,0
4,38593.0,42,8,0
5,64413.0,27,5,1
2,36959.0,56,8,0
6,61996.0,27,5,1
4,51287.0,10,7,0
3,13260.0,48,8,0
2,47472.0,39,5,0
4,54603.0,85,7,0
3,45207.0,64,6,0
7,40689.0,69,8,1
1,47821.0,54,8,0
2,27450.0,57,7,0
2,39453.0,64,6,0
2,26850.0,10,4,0
5,79800.0,65,3,2
4,61794.0,74,2,2
7,53863.0,4,7,1
1,24221.0,94,4,0
2,39684.0,41,7,0
5,92163.0,25,2,2
3,69882.0,94,1,2
1,33178.0,9,4,0
3,59973.0,47,1,2
3,17459.0,12,7,0
2,23910.0,80,7,0
1,42169.0,20,8,0
2,26224.0,39,6,0
3,31089.0,57,8,0
1,30081.0,27,7,0
5,62807.0,83,5,2
3,72906.0,79,1,2
5,61467.0,69,5,1
3,49618.0,77,7,0
5,21888.0,15,10,0
1,42429.0,99,5,0
1,26150.0,61,7,0
1,30801.0,23,7,0
6,81168.0,84,3,2
3,26877.0,74,6,0
3,45006.0,90,3,2
1,18978.0,41,8,0
2,22574.0,28,7,0
6,48240.0,73,5,1
6,45837.0,88,7,1
1,35791.0,94,8,0
0,162397.0,31,1,2
1,54162.0,31,4,0
1,30522.0,6,2,0
6,54456.0,23,6,1
2,31632.0,92,7,0
4,72298.0,52,1,2
1,36975.0,50,7,0
6,72635.0,54,3,2
2,13624.0,93,6,0
8,84196.0,56,3,2
11,70971.0,28,7,1
3,34487.0,94,9,0
4,28769.0,76,9,0
7,69084.0,43,8,1
3,65488.0,46,1,2
6,62466.0,13,4,1
2,32218.0,27,7,0
6,83917.0,12,3,2
1,46102.0,3,7,0
9,84574.0,72,5,1
4,56181.0,6,4,2
8,63120.0,53,7,1
6,73691.0,58,2,2
4,63381.0,78,2,2
5,76140.0,57,2,2
9,62859.0,37,6,1
5,45906.0,20,5,1
4,77632.0,73,2,2
3,46463.0,56,6,0
9,105471.0,36,3,2
3,55282.0,9,4,2
7,78710.0,42,4,1
7,66886.0,28,5,1
4,98777.0,23,1,2
1,29103.0,38,9,0
9,67445.0,63,6,1
1,50616.0,71,2,2
7,49431.0,9,8,1
0,153924.0,81,0,2
3,61278.0,87,6,0
3,26490.0,92,6,0
9,73059.0,36,4,1
3,46734.0,86,6,0
7,56253.0,83,6,1
0,19986.0,74,7,0
6,58330.0,87,4,2
2,25965.0,29,8,0
1,14661.0,88,6,0
1,18690.0,77,8,0
1,45068.0,25,7,0
2,21063.0,34,6,0
1,29187.0,43,8,0
3,54690.0,76,3,2
7,59304.0,81,5,1
5,59247.0,87,6,1
4,66731.0,33,3,2
6,77353.0,38,4,2
2,52614.0,63,8,0
1,26751.0,26,8,0
10,81300.0,17,5,1
2,70337.0,75,1,2
4,36145.0,13,9,0
3,65295.0,19,2,2
8,68118.0,51,6,1
11,68743.0,81,7,1
8,41039.0,32,8,1
3,38946.0,84,5,0
2,65777.0,87,1,2
5,66476.0,99,4,2
5,86857.0,96,2,2
0,160803.0,21,0,2
3,77845.0,40,1,2
4,69476.0,3,2,2
4,50611.0,98,6,0
5,61209.0,73,2,2
1,42315.0,90,3,2
1,13084.0,29,6,0
2,47570.0,3,7,0
2,61923.0,94,3,2
1,34824.0,65,6,0
2,26518.0,33,8,0
8,45938.0,46,6,1
10,78468.0,29,4,1
9,78901.0,99,4,1
8,71427.0,26,4,1
5,71022.0,30,8,1
3,90247.0,27,1,2
4,41335.0,24,7,0
8,71952.0,93,4,1
1,35682.0,34,2,2
9,43185.0,88,8,1
2,66375.0,96,7,0
1,35178.0,10,7,0
1,25252.0,26,8,0
7,55250.0,49,5,1
2,33249.0,11,6,0
5,58398.0,44,4,2
4,50272.0,75,7,0
3,76618.0,64,1,2
5,87305.0,19,2,2
2,25851.0,45,7,0
11,58710.0,77,6,1
1,45160.0,9,7,0
5,74806.0,1,4,2
11,59111.0,90,7,1
1,18988.0,43,7,0
5,72190.0,79,3,2
4,7500.0,19,9,0
2,44794.0,99,6,0
6,80395.0,62,2,2
3,75012.0,41,1,2
6,56962.0,60,7,1
11,89891.0,17,4,1
0,35946.0,24,5,0
7,53593.0,60,8,1
4,66373.0,57,3,2
6,45072.0,74,8,1
4,89694.0,22,5,2
4,72025.0,46,2,2
8,67432.0,69,4,1
4,70545.0,29,2,2
1,17487.0,37,7,0
7,62882.0,26,4,1
6,64108.0,8,5,1
3,34941.0,26,8,0
2,48767.0,79,5,0
3,38702.0,71,6,0
6,82224.0,83,3,2
4,83844.0,57,1,2
2,17003.0,37,5,0
