Marital_Status,Recency,Kidhome,Response,NumWebPurchases,Income,MntWines,NumCatalogPurchases,cluster_kmeans
Single,58,0,1,8,58138.0,635,10,1
Single,38,1,0,1,46344.0,11,1,0
Partner,26,0,0,8,71613.0,426,2,1
Partner,26,1,0,2,26646.0,11,0,0
Partner,94,1,0,5,58293.0,173,3,0
Partner,16,0,0,6,62513.0,520,4,1
Single,34,0,0,7,55635.0,235,3,2
Partner,32,1,0,4,33454.0,76,0,0
Partner,19,1,1,3,30351.0,14,0,0
Partner,68,1,0,1,5648.0,28,0,0
Partner,59,0,0,2,7500.0,6,0,2
Single,82,0,0,3,63033.0,194,4,2
Single,53,1,0,6,59354.0,233,1,0
Partner,38,0,0,1,17323.0,3,0,2
Single,23,0,1,7,82800.0,1006,6,1
Partner,51,1,0,3,41850.0,53,0,0
Partner,20,0,0,4,37760.0,84,1,2
Partner,91,0,0,11,76995.0,1012,4,1
Single,86,1,0,2,33812.0,4,1,0
Partner,41,0,0,4,37040.0,86,2,2
Partner,42,1,0,0,2447.0,1,28,1
Partner,63,0,0,2,58607.0,867,3,1
Partner,0,0,0,6,65324.0,384,2,2
Partner,69,0,0,7,40689.0,270,1,2
Single,89,0,0,2,18589.0,6,1,2
Partner,4,1,0,5,53359.0,173,1,0
Partner,26,1,0,2,38360.0,36,1,0
Partner,96,0,0,6,84618.0,684,9,1
Single,34,0,0,3,10979.0,8,0,2
Partner,56,0,0,2,38620.0,112,5,2
Partner,31,0,0,2,40548.0,110,1,2
Single,8,0,1,4,46610.0,96,1,2
Partner,4,0,0,3,68657.0,482,5,1
Single,55,1,0,2,49389.0,40,0,0
Partner,37,0,0,5,67353.0,702,6,1
Partner,76,1,0,3,23718.0,6,1,0
Single,99,0,0,1,42429.0,55,1,2
Single,53,0,1,7,48948.0,437,10,1
Partner,3,0,0,8,80011.0,421,6,1
Partner,88,1,0,2,20559.0,13,0,0
Partner,4,0,0,0,21994.0,9,0,2
Partner,19,1,0,2,7500.0,3,0,0
Single,72,0,0,2,79941.0,123,4,2
Partner,24,0,1,3,7500.0,3,1,2
Partner,92,1,0,2,41728.0,13,0,0
Partner,39,1,0,5,72550.0,826,2,1
Single,29,0,0,4,65486.0,245,2,2
Partner,2,0,0,6,79143.0,650,9,1
Single,54,1,0,2,35790.0,12,0,0
Single,54,0,1,4,82582.0,510,9,1
Partner,57,1,0,4,66373.0,328,2,0
Partner,55,0,1,3,82384.0,984,10,1
Single,30,0,1,5,70287.0,295,5,1
Single,31,1,0,1,27938.0,13,0,0
Partner,63,0,0,8,55954.0,447,2,1
Single,12,0,1,3,75777.0,712,6,1
Partner,18,1,0,4,66653.0,452,2,0
Single,26,0,0,8,61823.0,523,2,1
Single,8,0,0,7,67680.0,546,3,1
Partner,29,0,0,7,70666.0,398,4,1
Partner,75,1,1,1,25721.0,1,1,0
Partner,0,1,0,1,32474.0,10,0,0
Single,19,0,1,11,88194.0,688,10,1
Partner,4,0,0,5,69096.0,247,2,2
Partner,90,1,0,2,74854.0,856,5,1
Partner,1,0,0,4,66991.0,496,8,1
Partner,29,0,0,10,65031.0,258,3,1
Partner,88,1,0,9,60631.0,565,2,1
Partner,58,0,0,2,28332.0,14,1,2
Single,68,1,0,1,40246.0,2,0,0
Partner,34,0,1,7,75251.0,721,6,1
Single,40,0,1,5,75825.0,1032,8,1
Partner,12,0,0,0,26326.0,1,0,2
Partner,9,0,1,10,56046.0,577,1,1
Single,87,1,0,3,29760.0,64,1,0
Partner,5,1,0,1,26304.0,4,0,0
Partner,87,1,0,3,23559.0,25,0,0
Partner,56,0,0,2,38620.0,112,5,2
Single,18,0,0,3,81361.0,163,10,1
Partner,95,1,0,1,29440.0,17,0,0
Partner,48,1,0,3,36138.0,130,1,0
Single,3,0,1,6,50388.0,292,1,2
Partner,70,0,0,5,79593.0,350,6,1
Partner,79,0,0,2,54178.0,135,2,2
Single,69,1,0,1,42394.0,15,0,0
Partner,84,1,0,3,23626.0,27,1,0
Partner,30,1,0,2,30096.0,5,0,0
Single,72,0,0,7,47916.0,505,4,1
Single,37,1,0,2,51813.0,51,0,0
Partner,44,0,0,5,78497.0,207,7,1
Partner,32,0,0,5,50150.0,135,2,2
Single,0,0,0,2,47823.0,53,0,2
Single,43,0,0,2,34554.0,41,0,2
Partner,59,0,0,9,85693.0,386,5,1
Partner,68,0,0,6,65846.0,562,3,1
Partner,35,0,1,3,87195.0,217,11,1
Partner,94,1,0,1,24594.0,1,0,0
Partner,15,1,0,4,49096.0,144,1,0
Partner,56,0,0,6,52413.0,295,4,2
Single,17,1,0,3,38557.0,76,1,0
Partner,18,0,0,5,89058.0,454,4,1
Partner,46,0,0,6,77298.0,425,6,1
Single,40,0,1,7,68126.0,1332,4,1
Partner,27,0,0,8,57288.0,527,1,1
Single,95,0,1,6,86037.0,490,7,1
Partner,19,1,0,6,43974.0,378,4,0
Single,27,1,0,2,50785.0,64,1,0
Partner,25,0,0,4,90765.0,547,6,1
Partner,74,1,0,9,36550.0,47,1,0
Partner,85,1,0,1,30753.0,12,1,0
Partner,37,1,0,2,21918.0,1,0,0
Partner,65,0,0,6,56129.0,320,2,2
Single,13,1,1,2,32557.0,34,1,0
Partner,63,2,0,1,19510.0,9,0,0
Single,83,1,0,1,30992.0,17,0,0
Single,69,0,1,6,101970.0,722,8,1
Partner,87,0,0,3,71488.0,162,4,2
Single,37,0,1,3,79607.0,450,6,1
Partner,51,1,0,2,54348.0,70,0,0
Partner,72,1,0,6,77376.0,492,3,1
Partner,10,0,0,5,62998.0,120,4,2
Alone,42,1,0,11,61331.0,534,1,1
Partner,10,0,0,7,73448.0,236,2,2
Partner,51,1,0,5,41551.0,220,1,0
Partner,21,0,0,4,62981.0,796,5,1
Single,31,1,0,1,9548.0,0,0,0
Partner,61,2,0,2,33762.0,53,2,0
Alone,37,1,1,1,35860.0,15,1,0
Single,74,1,0,2,36921.0,17,0,0
Single,46,0,0,5,92859.0,962,4,1
Partner,4,0,1,3,65104.0,738,5,1
Partner,73,0,0,5,86111.0,399,7,1
Single,47,0,0,8,68352.0,614,5,1
Partner,13,1,0,4,41883.0,32,2,0
Partner,36,0,0,3,59809.0,598,3,1
Partner,47,1,1,2,23957.0,2,0,0
Partner,49,1,0,1,38547.0,6,0,0
Partner,94,2,0,4,35688.0,73,1,0
Partner,65,0,0,2,49605.0,42,1,2
Partner,59,0,0,4,59354.0,295,4,2
Partner,96,0,0,8,65747.0,346,1,1
Partner,28,0,0,7,46344.0,233,1,2
Alone,12,1,0,3,34176.0,5,0,0
Partner,57,0,0,8,61010.0,888,5,1
Partner,10,0,1,10,69372.0,997,4,1
Single,4,0,0,6,49967.0,212,1,2
Single,49,1,0,0,60199.0,8,0,0
Partner,3,0,0,1,55375.0,42,1,2
Single,64,0,0,3,80317.0,536,4,1
Single,0,2,0,1,30523.0,5,0,0
Partner,20,0,0,10,70356.0,1349,6,1
Partner,91,1,0,3,23228.0,53,0,0
Single,9,0,0,5,74165.0,1001,4,1
Partner,98,0,0,0,157243.0,20,22,1
Partner,83,2,0,2,43482.0,18,0,0
Single,27,0,0,6,62551.0,125,7,1
Single,63,0,0,3,52332.0,212,2,2
Single,46,0,0,3,66951.0,277,4,2
Partner,84,1,0,2,26091.0,15,1,0
Partner,58,1,0,1,33456.0,7,0,0
Partner,78,1,0,2,28718.0,12,0,0
Partner,4,2,0,3,50447.0,85,1,0
Partner,17,1,0,2,53537.0,81,1,0
Single,77,0,0,2,52074.0,59,2,2
Partner,56,0,0,11,80427.0,1149,8,1
Partner,79,0,1,9,83837.0,847,10,1
Partner,90,1,0,2,38853.0,29,0,0
Partner,96,2,0,0,38285.0,2,0,0
Partner,44,0,0,5,78497.0,207,7,1
Partner,81,0,0,4,51650.0,152,1,2
Partner,77,1,0,2,16248.0,12,1,0
Partner,21,0,0,6,66835.0,620,4,1
Partner,16,1,0,1,30477.0,47,1,0
Partner,80,0,0,2,28249.0,1,0,2
Partner,45,1,0,1,25271.0,10,1,0
Single,63,0,0,1,32303.0,35,0,2
Partner,34,0,0,7,61286.0,356,1,2
Partner,14,0,0,4,74068.0,783,10,1
Partner,13,1,0,2,45759.0,42,0,0
Partner,52,1,0,1,24882.0,1,1,0
Partner,98,0,0,8,66973.0,466,7,1
Single,99,1,0,2,36640.0,15,1,0
Partner,93,1,0,3,38872.0,23,0,0
Partner,38,1,0,5,51148.0,235,1,0
Partner,24,1,0,1,31353.0,10,1,0
Partner,80,0,0,7,69661.0,656,3,1
Partner,82,0,0,4,80067.0,519,6,1
Partner,20,0,0,5,86718.0,344,6,1
Single,81,1,1,5,46854.0,96,1,0
Single,50,0,0,8,69142.0,448,1,1
Single,60,0,0,4,75922.0,265,4,1
Single,63,0,0,11,63693.0,587,6,1
Partner,54,0,1,7,102160.0,763,9,1
Single,72,1,0,1,40637.0,22,0,0
Single,5,0,1,0,18890.0,6,1,2
Partner,88,1,0,1,29604.0,7,0,0
Single,50,1,0,4,48721.0,81,2,0
Partner,99,0,0,2,44794.0,54,0,2
Single,17,0,1,11,64497.0,1170,4,1
Partner,11,0,0,3,46097.0,72,1,2
Partner,18,0,0,4,77972.0,613,6,1
Partner,70,1,0,5,44377.0,224,1,0
Partner,21,1,0,7,46014.0,410,1,0
Partner,66,0,0,3,70951.0,239,4,2
Partner,79,1,0,8,41443.0,171,1,0
Single,2,2,0,1,52195.0,12,0,0
Partner,81,0,0,8,83790.0,1076,10,1
Single,24,0,0,4,44551.0,182,1,2
Partner,48,1,0,11,69508.0,824,4,1
Partner,93,1,0,1,45204.0,30,1,0
Partner,56,0,0,3,72460.0,377,5,1
Partner,3,0,0,6,77622.0,520,3,1
Partner,44,1,0,4,30732.0,155,1,0
Single,38,0,0,9,63887.0,897,6,1
Partner,46,1,0,3,42011.0,131,1,0
Partner,84,0,0,8,51369.0,297,2,2
Single,27,0,0,2,51537.0,787,2,2
Partner,72,0,0,3,79930.0,792,5,1
Partner,66,1,0,1,34320.0,4,0,0
Single,30,1,1,5,37070.0,231,1,0
Single,2,0,0,6,81975.0,983,3,1
Partner,65,1,0,1,38590.0,3,0,0
Single,37,0,0,1,15033.0,0,0,2
Partner,89,0,0,7,62745.0,562,8,1
Partner,49,1,0,2,22212.0,5,0,0
Partner,46,1,0,1,23661.0,18,0,0
Single,32,0,0,5,79761.0,415,2,1
Single,54,1,0,3,7500.0,5,1,0
Single,23,0,0,1,60182.0,8,0,2
Single,98,0,0,6,73455.0,901,5,1
Partner,97,0,0,6,64961.0,382,4,1
Single,75,1,0,2,22804.0,14,0,0
Partner,8,0,1,3,73687.0,559,9,1
Partner,37,0,0,11,61074.0,789,5,1
Partner,31,1,0,1,31686.0,11,0,0
Partner,40,1,1,5,80134.0,1218,3,1
Partner,74,0,0,9,75027.0,925,4,1
Partner,90,0,0,4,67546.0,864,10,1
Partner,57,0,0,9,65176.0,960,6,1
Single,59,1,0,2,31160.0,16,0,0
Single,52,1,0,1,29938.0,3,0,0
Single,5,0,1,6,102692.0,168,9,1
Partner,92,0,0,3,26490.0,45,1,2
Partner,77,1,0,4,75702.0,650,6,1
Single,35,1,0,1,30899.0,24,0,0
Partner,48,0,0,8,63342.0,918,3,1
Single,97,0,0,3,45989.0,138,2,2
Single,95,1,0,2,18701.0,12,0,0
Single,24,2,0,1,40737.0,11,0,0
Single,60,1,1,1,15287.0,1,1,0
Single,46,0,0,10,69674.0,554,2,1
Partner,85,1,0,4,44159.0,167,1,0
Partner,31,1,0,1,37717.0,9,0,0
Partner,9,1,1,5,43776.0,177,2,0
Partner,30,1,0,3,38179.0,38,1,0
Partner,47,0,0,3,80124.0,483,7,1
Partner,70,1,1,3,38097.0,77,2,0
Partner,13,0,0,3,72940.0,182,3,2
Partner,11,1,0,2,22070.0,10,2,0
Single,31,0,1,3,69267.0,778,4,1
Single,15,1,0,3,31788.0,16,0,0
Partner,2,0,0,4,61905.0,167,2,2
Partner,55,1,0,2,29315.0,13,0,0
Single,38,1,0,2,33378.0,33,0,0
Partner,86,0,0,6,66313.0,625,3,1
Single,56,0,1,7,60714.0,216,4,1
Partner,29,0,0,3,77882.0,68,3,2
Single,30,0,1,3,69867.0,196,5,2
Single,64,0,0,9,63841.0,635,3,1
Partner,46,1,0,3,24480.0,4,0,0
Partner,84,0,0,8,51369.0,297,2,2
Partner,20,0,0,4,37760.0,84,1,2
Partner,74,0,0,5,65640.0,204,1,2
Partner,18,1,0,2,44319.0,26,0,0
Partner,75,1,0,3,30631.0,15,1,0
Partner,17,0,0,6,75278.0,304,3,1
Partner,88,1,0,6,50898.0,285,2,0
Single,19,0,0,5,79946.0,395,11,1
Single,62,0,0,7,35416.0,248,1,2
Partner,11,0,0,1,32414.0,20,0,2
Partner,74,1,0,3,38361.0,39,1,0
Partner,32,0,0,2,82497.0,777,7,1
Partner,76,2,0,3,16626.0,8,0,0
Partner,6,1,0,0,29672.0,9,0,0
Partner,62,0,0,3,55951.0,1241,6,1
Single,20,1,0,1,35388.0,6,0,0
Partner,43,1,0,3,42386.0,65,0,0
Single,45,0,0,2,68627.0,395,3,2
Single,34,0,0,8,57912.0,801,3,1
Single,53,1,0,3,35246.0,36,1,0
Partner,44,0,0,9,58821.0,513,2,1
Partner,89,1,0,2,46377.0,37,1,0
Single,43,1,0,5,39747.0,80,1,0
Partner,68,1,0,3,23976.0,14,1,0
Partner,44,0,0,6,80950.0,525,7,1
Single,64,0,1,3,27038.0,1,0,2
Single,85,0,0,2,77457.0,675,5,1
Partner,93,0,0,8,64100.0,509,3,1
Partner,12,0,0,4,42670.0,154,2,2
Single,86,1,0,3,12571.0,3,1,0
Partner,28,2,0,2,22574.0,25,0,0
Single,42,0,0,6,70893.0,768,6,1
Partner,13,1,0,3,54198.0,185,1,0
Partner,86,1,0,2,28839.0,24,0,0
Partner,59,1,0,3,40321.0,44,0,0
Single,30,1,0,4,66503.0,91,3,0
Partner,33,1,0,1,30833.0,11,0,0
Partner,23,0,0,3,64795.0,412,3,2
Partner,81,1,0,1,34421.0,3,0,0
Single,6,1,0,1,47025.0,16,0,0
Single,41,0,0,10,64325.0,731,3,1
Single,78,0,0,8,40464.0,424,2,2
Partner,49,0,0,4,62187.0,792,8,1
Single,39,1,0,2,14849.0,21,0,0
Partner,3,1,0,1,27255.0,22,0,0
Partner,37,2,0,1,54432.0,33,0,0
Single,22,1,0,3,29999.0,68,1,0
Single,79,1,0,1,24072.0,9,0,0
Single,46,0,0,1,33996.0,40,1,2
Partner,82,0,1,9,66334.0,909,3,1
Partner,10,1,1,1,35178.0,23,1,0
Partner,51,1,0,2,22010.0,11,0,0
Single,38,0,0,4,62204.0,317,5,1
Single,10,0,1,11,75693.0,797,4,1
Partner,14,1,0,1,30675.0,10,0,0
Partner,18,0,1,7,83003.0,856,6,1
Partner,36,0,0,4,83532.0,755,6,1
Single,95,0,0,4,68655.0,456,5,1
Single,11,0,0,2,41411.0,37,1,2
Partner,65,0,0,4,55212.0,1103,2,1
Partner,71,0,0,3,59292.0,378,5,1
Partner,13,1,1,1,27190.0,1,0,0
Single,58,0,0,2,82623.0,204,9,1
Partner,65,1,0,1,44300.0,30,0,0
Single,0,0,1,4,84835.0,189,4,2
Single,33,1,0,2,30372.0,15,0,0
Partner,90,1,0,1,33181.0,9,0,0
Partner,95,0,0,6,71113.0,495,7,1
Partner,93,1,0,8,71952.0,656,4,1
Single,38,0,1,4,69759.0,452,6,1
Partner,18,0,0,3,72099.0,546,4,1
Single,57,0,0,11,60000.0,1048,3,1
Single,45,1,0,2,38643.0,22,0,0
Partner,61,0,0,2,50737.0,78,0,2
Partner,6,0,0,3,68462.0,561,3,1
Partner,65,0,0,5,65073.0,629,3,1
Partner,52,0,0,4,46681.0,269,6,2
Partner,87,0,0,4,78618.0,736,7,1
Single,38,0,0,6,62187.0,512,2,1
Partner,53,2,0,2,28442.0,19,1,0
Partner,31,1,0,1,37717.0,9,0,0
Partner,67,1,0,6,51479.0,247,3,0
Single,65,0,0,6,54803.0,404,2,2
Partner,64,0,0,4,79530.0,333,10,1
Single,82,1,0,2,31615.0,2,0,0
Partner,27,0,0,4,72025.0,833,3,1
Single,63,0,0,2,52614.0,789,4,1
Partner,66,1,0,1,35684.0,10,0,0
Partner,69,1,0,5,48178.0,159,1,0
Single,52,1,0,1,29548.0,7,1,0
Single,45,0,0,4,63810.0,977,3,1
Single,2,1,1,3,38578.0,38,0,0
Single,86,1,0,3,46098.0,57,2,0
Single,23,0,1,1,22585.0,3,1,2
Single,13,1,0,1,30279.0,10,0,0
Partner,14,0,0,3,66426.0,1043,5,1
Single,92,1,0,1,30822.0,3,0,0
Partner,38,2,0,1,33581.0,11,0,0
Partner,74,1,0,0,19986.0,3,0,0
Single,14,0,0,4,27421.0,43,1,2
Partner,94,2,0,4,35688.0,73,1,0
Single,33,1,0,0,36143.0,12,1,0
Single,32,1,0,1,10245.0,4,2,0
Partner,11,0,1,7,43795.0,314,3,2
Partner,78,0,0,4,63381.0,571,5,1
Partner,56,0,0,2,38823.0,70,1,2
Single,57,1,0,2,83664.0,866,2,1
Partner,7,0,0,5,90300.0,594,6,1
Partner,0,1,0,3,62499.0,140,1,0
Single,66,0,0,5,74293.0,375,4,1
Partner,86,0,0,4,51012.0,102,1,2
Partner,80,0,0,5,70777.0,554,3,1
Partner,56,0,0,4,68682.0,919,9,1
Partner,18,1,0,3,43824.0,96,1,0
Partner,51,1,1,1,15345.0,5,1,0
Single,71,1,0,1,23442.0,2,0,0
Partner,71,1,1,2,14515.0,6,2,0
Single,80,1,0,2,31395.0,23,1,0
Partner,2,0,0,9,75276.0,610,4,1
Single,83,1,0,2,42373.0,67,1,0
Partner,29,0,0,5,30507.0,65,1,2
Single,11,1,1,6,55521.0,416,3,0
Partner,55,1,0,1,48006.0,23,0,0
Single,19,1,1,2,27213.0,19,0,0
Single,1,1,0,5,65808.0,155,1,0
Partner,19,1,0,3,30351.0,14,0,0
Partner,28,0,0,7,50437.0,370,1,2
Single,76,1,1,3,23616.0,4,0,0
Partner,50,0,0,4,53858.0,407,3,2
Partner,1,0,0,11,66465.0,1200,9,1
Single,90,1,0,5,46923.0,85,1,0
Partner,83,0,0,5,75072.0,583,4,1
Partner,73,0,0,3,75865.0,483,5,1
Partner,24,1,0,2,19789.0,2,1,0
Partner,11,0,0,2,80134.0,966,7,1
Single,33,0,1,7,91065.0,822,9,1
Partner,4,1,0,10,49505.0,604,2,1
Partner,14,1,0,2,37401.0,19,0,0
Partner,30,1,0,2,30096.0,5,0,0
Partner,75,1,0,1,18492.0,2,0,0
Partner,26,0,1,3,82584.0,1076,4,1
Partner,77,0,0,7,93027.0,1285,10,1
Partner,8,1,0,1,48686.0,10,0,0
Partner,42,0,0,6,92910.0,551,7,1
Partner,28,1,0,2,75433.0,800,5,1
Partner,52,1,0,1,10404.0,2,0,0
Partner,1,0,0,5,61314.0,378,5,1
Single,1,0,1,2,84865.0,1248,4,1
Partner,42,1,0,8,42387.0,235,1,0
Partner,76,1,0,9,67309.0,515,6,1
Partner,27,0,0,8,75236.0,438,3,1
Single,28,1,0,1,30015.0,25,0,0
Partner,49,0,0,1,50943.0,31,0,2
Single,12,0,0,6,67272.0,357,2,2
Single,14,0,0,9,51529.0,400,1,2
Partner,89,1,0,2,32011.0,99,1,0
Partner,96,1,0,2,7500.0,1,0,0
Partner,56,1,0,1,28691.0,5,0,0
Partner,72,0,0,2,56223.0,77,1,2
Partner,14,0,0,0,18100.0,3,0,2
Single,13,1,0,1,30279.0,10,0,0
Partner,99,0,0,1,20130.0,0,0,2
Single,72,0,0,1,23295.0,0,0,2
Single,92,1,0,5,42618.0,76,0,0
Single,87,0,0,4,81246.0,398,5,1
Partner,7,1,0,2,24027.0,14,0,0
Partner,91,0,0,3,55707.0,208,2,2
Single,71,0,0,4,57959.0,430,7,1
Partner,24,0,0,8,56796.0,656,9,1
Single,17,1,0,2,36230.0,14,0,0
Partner,87,1,0,4,70829.0,141,2,0
Partner,21,0,0,9,65991.0,507,5,1
Partner,90,1,0,5,38988.0,164,1,0
Single,44,0,1,7,89572.0,606,7,1
Partner,71,1,1,4,42207.0,116,1,0
Partner,52,0,0,2,50300.0,143,1,2
Partner,78,0,0,5,66664.0,398,7,1
Partner,2,0,1,2,60597.0,522,2,2
Single,60,0,0,3,70165.0,161,7,1
Single,25,0,0,3,50520.0,112,1,2
Partner,47,0,0,3,80124.0,483,7,1
Partner,46,1,0,4,33183.0,7,0,0
Single,83,0,0,2,66582.0,789,8,1
Partner,17,0,1,5,75261.0,1239,6,1
Single,13,1,0,1,31880.0,4,0,0
Partner,86,0,0,7,53790.0,335,2,2
Partner,92,1,0,7,49269.0,639,3,1
Partner,47,0,0,6,61456.0,563,10,1
Partner,18,1,1,1,37406.0,2,0,0
Partner,81,1,1,8,56937.0,746,6,1
Partner,91,1,0,1,38415.0,22,0,0
Single,58,1,0,1,20518.0,4,1,0
Partner,40,0,0,8,62503.0,478,3,1
Single,67,1,0,1,41644.0,20,0,0
Partner,19,0,0,7,55842.0,451,1,2
Partner,93,0,0,6,62010.0,371,2,2
Partner,41,1,0,7,41124.0,281,3,0
Partner,60,1,0,2,38961.0,19,1,0
Single,54,1,0,2,37760.0,26,0,0
Single,26,1,1,6,32233.0,138,2,0
Partner,30,0,0,4,43057.0,213,2,2
Partner,93,0,0,5,83151.0,407,9,1
Single,35,0,1,5,78825.0,483,10,1
Partner,4,0,0,3,65104.0,738,5,1
Partner,92,0,0,7,60093.0,502,2,1
Partner,24,1,0,1,14045.0,11,0,0
Single,96,0,0,4,28457.0,24,1,2
Partner,11,0,0,2,78952.0,1170,5,1
Single,99,1,0,6,46310.0,185,1,0
Partner,72,0,0,3,76005.0,983,5,1
Single,77,0,0,2,58308.0,691,6,1
Single,85,0,0,9,55614.0,504,4,1
Single,88,0,0,5,59432.0,317,3,2
Single,22,0,0,2,55563.0,29,0,2
Partner,83,0,0,4,78642.0,1396,9,1
Partner,63,0,0,6,67911.0,529,7,1
Partner,9,0,0,4,65275.0,388,3,2
Partner,92,1,0,1,27203.0,13,1,0
Partner,2,0,0,1,48330.0,28,0,2
Partner,6,0,0,4,24279.0,16,1,2
Partner,66,1,0,4,64355.0,1047,3,1
Partner,49,0,0,1,50943.0,31,0,2
Single,29,0,0,10,53653.0,815,4,1
Partner,77,0,0,5,65665.0,225,10,1
Single,77,0,0,3,81217.0,493,7,1
Partner,71,0,0,2,34935.0,34,1,2
Single,49,0,0,5,61250.0,382,2,2
Partner,97,1,0,4,39665.0,127,2,0
Single,6,0,0,6,60152.0,325,4,1
Partner,93,0,0,6,48920.0,238,2,2
Partner,78,0,0,5,89120.0,1168,6,1
Partner,62,0,0,6,44124.0,284,2,2
Single,47,0,0,5,81169.0,1288,7,1
Partner,9,1,0,3,36443.0,65,1,0
Single,77,1,0,1,26095.0,11,0,0
Partner,24,0,0,4,71367.0,227,5,1
Partner,19,0,0,6,80184.0,1035,3,1
Single,67,1,0,2,30630.0,27,0,0
Single,95,0,0,2,73454.0,982,4,1
Partner,48,0,0,5,42691.0,179,1,2
Partner,73,0,0,2,70503.0,1379,4,1
Partner,35,1,1,2,25545.0,32,2,0
Partner,76,1,0,1,32880.0,8,0,0
Partner,20,0,0,4,77863.0,881,5,1
Partner,72,0,0,4,50353.0,141,4,2
Single,20,0,0,4,61839.0,1000,8,1
Partner,69,1,0,4,49154.0,206,1,0
Single,80,0,0,4,47682.0,162,3,2
Single,65,0,0,4,72679.0,619,7,1
Partner,52,1,0,8,57954.0,456,2,1
Partner,65,1,0,3,65316.0,112,2,0
Single,57,1,0,2,28567.0,11,0,0
Partner,70,0,0,6,47352.0,172,1,2
Partner,0,0,0,2,44931.0,78,1,2
Single,19,0,1,8,76982.0,464,3,1
Partner,50,0,0,2,57247.0,99,1,2
Single,67,1,0,3,22944.0,19,0,0
Partner,46,1,0,3,25315.0,1,0,0
Single,37,0,0,4,43638.0,63,1,2
Single,38,1,0,4,42710.0,252,5,0
Partner,9,0,1,7,84169.0,1478,6,1
Partner,56,0,0,4,54058.0,198,6,2
Partner,98,1,0,2,24683.0,8,0,0
Single,68,0,1,3,85620.0,416,6,1
Partner,72,1,0,3,47850.0,42,0,0
Partner,47,1,1,3,19514.0,14,1,0
Partner,33,1,0,1,27159.0,17,0,0
Single,87,1,0,1,39548.0,15,1,0
Single,0,1,1,3,21474.0,6,1,0
Single,73,0,0,6,60504.0,458,2,1
Partner,74,0,0,3,22419.0,30,2,2
Partner,4,0,1,3,81698.0,179,8,1
Partner,50,1,0,4,43462.0,90,1,0
Single,57,1,0,6,54880.0,308,2,0
Partner,30,0,0,5,79908.0,557,6,1
Partner,27,0,0,2,15315.0,7,0,2
Partner,61,0,1,5,87771.0,1492,10,1
Partner,4,1,0,2,33039.0,30,0,0
Single,75,0,0,6,81741.0,249,6,1
Partner,12,0,0,8,71499.0,465,3,1
Partner,13,0,0,6,62466.0,129,3,2
